"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"United Kingdom (UK)","23.02.2015 18:00 - 23.02.2015 18:30 (UTC)","N/A","n/e","n/e","14909","16537","0","n/e","n/e","n/e","1607","","766","n/e","n/e","7793","75","n/e","72","n/e","3363","4118"
"United Kingdom (UK)","23.02.2015 18:30 - 23.02.2015 19:00 (UTC)","N/A","n/e","n/e","14926","16522","0","n/e","n/e","n/e","1167","","826","n/e","n/e","7801","75","n/e","0","n/e","3345","4100"
"United Kingdom (UK)","23.02.2015 19:00 - 23.02.2015 19:30 (UTC)","N/A","n/e","n/e","14372","16348","0","n/e","n/e","n/e","573","","885","n/e","n/e","7802","75","n/e","0","n/e","3392","4055"
"United Kingdom (UK)","23.02.2015 19:30 - 23.02.2015 20:00 (UTC)","N/A","n/e","n/e","13088","16211","0","n/e","n/e","n/e","337","","920","n/e","n/e","7801","75","n/e","0","n/e","3411","4036"
"United Kingdom (UK)","23.02.2015 20:00 - 23.02.2015 20:30 (UTC)","N/A","n/e","n/e","11589","16164","0","n/e","n/e","n/e","432","","867","n/e","n/e","7799","75","n/e","0","n/e","3408","3973"
"United Kingdom (UK)","23.02.2015 20:30 - 23.02.2015 21:00 (UTC)","N/A","n/e","n/e","9961","16213","0","n/e","n/e","n/e","381","","785","n/e","n/e","7710","75","n/e","0","n/e","3409","3942"
"United Kingdom (UK)","23.02.2015 21:00 - 23.02.2015 21:30 (UTC)","N/A","n/e","n/e","8011","15955","0","n/e","n/e","n/e","371","","759","n/e","n/e","7589","75","n/e","0","n/e","3411","3979"
"United Kingdom (UK)","23.02.2015 21:30 - 23.02.2015 22:00 (UTC)","N/A","n/e","n/e","6720","14957","0","n/e","n/e","n/e","294","","626","n/e","n/e","7576","75","n/e","0","n/e","3412","3963"
"United Kingdom (UK)","23.02.2015 22:00 - 23.02.2015 22:30 (UTC)","N/A","n/e","n/e","5182","14153","0","n/e","n/e","n/e","316","","580","n/e","n/e","7576","75","n/e","0","n/e","3421","3773"
"United Kingdom (UK)","23.02.2015 22:30 - 23.02.2015 23:00 (UTC)","N/A","n/e","n/e","4158","13124","0","n/e","n/e","n/e","44","","571","n/e","n/e","7577","75","n/e","0","n/e","3415","3966"
