"Balancing Time Unit (UTC)","+ Imbalance Price [GBP/MWh] - MBA|GB","- Imbalance Price [GBP/MWh] - MBA|GB","Total Imbalance [MWh] - MBA|GB","Situation","Status"
"05.01.2018 19:00 - 05.01.2018 19:30","114.91","114.91","99","","Final"
"05.01.2018 19:30 - 05.01.2018 20:00","70.95","70.95","158","","Final"
"05.01.2018 20:00 - 05.01.2018 20:30","78.65","78.65","306","","Final"
"05.01.2018 20:30 - 05.01.2018 21:00","65.00","65.00","145","","Final"
"05.01.2018 21:00 - 05.01.2018 21:30","65.66","65.66","367","","Final"
"05.01.2018 21:30 - 05.01.2018 22:00","65.00","65.00","143","","Final"
"05.01.2018 22:00 - 05.01.2018 22:30","62.47","62.47","69","","Final"
"05.01.2018 22:30 - 05.01.2018 23:00","61.00","61.00","86","","Final"
"05.01.2018 23:00 - 05.01.2018 23:30","62.97","62.97","161","","Final"
"05.01.2018 23:30 - 06.01.2018 00:00","61.00","61.00","33","","Final"
"06.01.2018 00:00 - 06.01.2018 00:30","39.85","39.85","161","","Final"
"06.01.2018 00:30 - 06.01.2018 01:00","39.85","39.85","156","","Final"
"06.01.2018 01:00 - 06.01.2018 01:30","39.82","39.82","38","","Final"
"06.01.2018 01:30 - 06.01.2018 02:00","39.83","39.83","10","","Final"
"06.01.2018 02:00 - 06.01.2018 02:30","60.04","60.04","99","","Final"
"06.01.2018 02:30 - 06.01.2018 03:00","37.62","37.62","148","","Final"
"06.01.2018 03:00 - 06.01.2018 03:30","60.00","60.00","276","","Final"
"06.01.2018 03:30 - 06.01.2018 04:00","44.11","44.11","36","","Final"
"06.01.2018 04:00 - 06.01.2018 04:30","51.45","51.45","13","","Final"
"06.01.2018 04:30 - 06.01.2018 05:00","37.60","37.60","260","","Final"
"06.01.2018 05:00 - 06.01.2018 05:30","39.80","39.80","379","","Final"
"06.01.2018 05:30 - 06.01.2018 06:00","39.61","39.61","464","","Final"
"06.01.2018 06:00 - 06.01.2018 06:30","42.55","42.55","94","","Final"
"06.01.2018 06:30 - 06.01.2018 07:00","59.00","59.00","67","","Final"
"06.01.2018 07:00 - 06.01.2018 07:30","30.00","30.00","300","","Final"
"06.01.2018 07:30 - 06.01.2018 08:00","30.00","30.00","563","","Final"
"06.01.2018 08:00 - 06.01.2018 08:30","37.64","37.64","360","","Final"
"06.01.2018 08:30 - 06.01.2018 09:00","39.80","39.80","258","","Final"
"06.01.2018 09:00 - 06.01.2018 09:30","38.60","38.60","321","","Final"
"06.01.2018 09:30 - 06.01.2018 10:00","37.04","37.04","442","","Final"
"06.01.2018 10:00 - 06.01.2018 10:30","39.35","39.35","252","","Final"
"06.01.2018 10:30 - 06.01.2018 11:00","39.85","39.85","227","","Final"
"06.01.2018 11:00 - 06.01.2018 11:30","41.39","41.39","46","","Final"
"06.01.2018 11:30 - 06.01.2018 12:00","40.43","40.43","122","","Final"
"06.01.2018 12:00 - 06.01.2018 12:30","68.00","68.00","203","","Final"
"06.01.2018 12:30 - 06.01.2018 13:00","57.67","57.67","14","","Final"
"06.01.2018 13:00 - 06.01.2018 13:30","39.79","39.79","154","","Final"
"06.01.2018 13:30 - 06.01.2018 14:00","39.00","39.00","373","","Final"
"06.01.2018 14:00 - 06.01.2018 14:30","39.20","39.20","262","","Final"
"06.01.2018 14:30 - 06.01.2018 15:00","39.86","39.86","86","","Final"
"06.01.2018 15:00 - 06.01.2018 15:30","68.00","68.00","138","","Final"
"06.01.2018 15:30 - 06.01.2018 16:00","39.58","39.58","294","","Final"
"06.01.2018 16:00 - 06.01.2018 16:30","40.08","40.08","207","","Final"
"06.01.2018 16:30 - 06.01.2018 17:00","90.22","90.22","488","","Final"
"06.01.2018 17:00 - 06.01.2018 17:30","95.22","95.22","719","","Final"
"06.01.2018 17:30 - 06.01.2018 18:00","95.40","95.40","721","","Final"
"06.01.2018 18:00 - 06.01.2018 18:30","95.22","95.22","481","","Final"
"06.01.2018 18:30 - 06.01.2018 19:00","89.79","89.79","286","","Final"
"06.01.2018 19:00 - 06.01.2018 19:30","40.50","40.50","97","","Final"
"06.01.2018 19:30 - 06.01.2018 20:00","39.60","39.60","441","","Final"
"06.01.2018 20:00 - 06.01.2018 20:30","39.43","39.43","330","","Final"
"06.01.2018 20:30 - 06.01.2018 21:00","65.00","65.00","83","","Final"
"06.01.2018 21:00 - 06.01.2018 21:30","65.00","65.00","167","","Final"
"06.01.2018 21:30 - 06.01.2018 22:00","60.75","60.75","181","","Final"
"06.01.2018 22:00 - 06.01.2018 22:30","64.00","64.00","253","","Final"
"06.01.2018 22:30 - 06.01.2018 23:00","64.14","64.14","331","","Final"
"06.01.2018 23:00 - 06.01.2018 23:30","61.75","61.75","260","","Final"
"06.01.2018 23:30 - 07.01.2018 00:00","60.75","60.75","32","","Final"
"07.01.2018 00:00 - 07.01.2018 00:30","38.70","38.70","279","","Final"
"07.01.2018 00:30 - 07.01.2018 01:00","38.64","38.64","345","","Final"
"07.01.2018 01:00 - 07.01.2018 01:30","38.70","38.70","152","","Final"
"07.01.2018 01:30 - 07.01.2018 02:00","38.13","38.13","84","","Final"
"07.01.2018 02:00 - 07.01.2018 02:30","34.00","34.00","78","","Final"
"07.01.2018 02:30 - 07.01.2018 03:00","60.72","60.72","189","","Final"
"07.01.2018 03:00 - 07.01.2018 03:30","57.24","57.24","97","","Final"
"07.01.2018 03:30 - 07.01.2018 04:00","57.24","57.24","133","","Final"
"07.01.2018 04:00 - 07.01.2018 04:30","59.55","59.55","185","","Final"
"07.01.2018 04:30 - 07.01.2018 05:00","57.24","57.24","53","","Final"
"07.01.2018 05:00 - 07.01.2018 05:30","34.10","34.10","141","","Final"
"07.01.2018 05:30 - 07.01.2018 06:00","27.00","27.00","331","","Final"
"07.01.2018 06:00 - 07.01.2018 06:30","37.50","37.50","351","","Final"
"07.01.2018 06:30 - 07.01.2018 07:00","37.60","37.60","260","","Final"
"07.01.2018 07:00 - 07.01.2018 07:30","38.60","38.60","159","","Final"
"07.01.2018 07:30 - 07.01.2018 08:00","38.22","38.22","207","","Final"
"07.01.2018 08:00 - 07.01.2018 08:30","36.09","36.09","187","","Final"
