"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"United Kingdom (UK)","20.02.2019 08:30 - 20.02.2019 09:00 (CET)","2087","n/e","n/e","12072","502","0","n/e","n/e","n/e","151","","569","n/e","n/e","5963","72","n/e","142","n/e","3414","6781"
"United Kingdom (UK)","20.02.2019 09:00 - 20.02.2019 09:30 (CET)","2221","n/e","n/e","12983","598","0","n/e","n/e","n/e","301","","600","n/e","n/e","5950","72","n/e","499","n/e","119","2935"
"United Kingdom (UK)","20.02.2019 09:30 - 20.02.2019 10:00 (CET)","2269","n/e","n/e","13641","704","0","n/e","n/e","n/e","477","","602","n/e","n/e","5956","74","n/e","1060","n/e","3494","6823"
"United Kingdom (UK)","20.02.2019 10:00 - 20.02.2019 10:30 (CET)","2260","n/e","n/e","13865","713","0","n/e","n/e","n/e","370","","644","n/e","n/e","5958","77","n/e","1060","n/e","3493","6662"
"United Kingdom (UK)","20.02.2019 10:30 - 20.02.2019 11:00 (CET)","2170","n/e","n/e","13686","711","0","n/e","n/e","n/e","272","","642","n/e","n/e","5958","75","n/e","1770","n/e","3506","6948"
"United Kingdom (UK)","20.02.2019 11:00 - 20.02.2019 11:30 (CET)","2190","n/e","n/e","13472","705","0","n/e","n/e","n/e","306","","634","n/e","n/e","5970","75","n/e","2250","n/e","125","3006"
"United Kingdom (UK)","20.02.2019 11:30 - 20.02.2019 12:00 (CET)","2260","n/e","n/e","13198","600","0","n/e","n/e","n/e","450","","621","n/e","n/e","5964","73","n/e","2400","n/e","1941","6245"
"United Kingdom (UK)","20.02.2019 12:00 - 20.02.2019 12:30 (CET)","2264","n/e","n/e","12933","597","0","n/e","n/e","n/e","194","","610","n/e","n/e","5965","72","n/e","2670","n/e","134","3005"
"United Kingdom (UK)","20.02.2019 12:30 - 20.02.2019 13:00 (CET)","2241","n/e","n/e","12617","598","0","n/e","n/e","n/e","505","","610","n/e","n/e","5963","70","n/e","2600","n/e","758","4735"
"United Kingdom (UK)","20.02.2019 13:00 - 20.02.2019 13:30 (CET)","2222","n/e","n/e","12897","597","0","n/e","n/e","n/e","203","","582","n/e","n/e","5970","71","n/e","2570","n/e","2116","6707"
"United Kingdom (UK)","20.02.2019 13:30 - 20.02.2019 14:00 (CET)","2217","n/e","n/e","12769","598","0","n/e","n/e","n/e","415","","575","n/e","n/e","5965","70","n/e","2480","n/e","136","2936"
"United Kingdom (UK)","20.02.2019 14:00 - 20.02.2019 14:30 (CET)","2210","n/e","n/e","12871","598","0","n/e","n/e","n/e","281","","597","n/e","n/e","5964","73","n/e","2560","n/e","1952","6446"
"United Kingdom (UK)","20.02.2019 14:30 - 20.02.2019 15:00 (CET)","2211","n/e","n/e","12688","598","0","n/e","n/e","n/e","194","","584","n/e","n/e","5970","74","n/e","2310","n/e","134","2861"
"United Kingdom (UK)","20.02.2019 15:00 - 20.02.2019 15:30 (CET)","2201","n/e","n/e","12773","598","0","n/e","n/e","n/e","159","","581","n/e","n/e","5966","74","n/e","1960","n/e","132","2815"
"United Kingdom (UK)","20.02.2019 15:30 - 20.02.2019 16:00 (CET)","2198","n/e","n/e","13019","599","0","n/e","n/e","n/e","179","","583","n/e","n/e","5961","75","n/e","1610","n/e","3371","6816"
"United Kingdom (UK)","20.02.2019 16:00 - 20.02.2019 16:30 (CET)","2211","n/e","n/e","13229","598","0","n/e","n/e","n/e","202","","561","n/e","n/e","5966","76","n/e","1350","n/e","3366","6737"
"United Kingdom (UK)","20.02.2019 16:30 - 20.02.2019 17:00 (CET)","2200","n/e","n/e","13691","709","0","n/e","n/e","n/e","313","","519","n/e","n/e","5963","75","n/e","943","n/e","132","2719"
"United Kingdom (UK)","20.02.2019 17:00 - 20.02.2019 17:30 (CET)","2199","n/e","n/e","14396","919","0","n/e","n/e","n/e","328","","500","n/e","n/e","5962","75","n/e","595","n/e","3428","6345"
"United Kingdom (UK)","20.02.2019 17:30 - 20.02.2019 18:00 (CET)","2211","n/e","n/e","14679","1407","0","n/e","n/e","n/e","422","","571","n/e","n/e","5946","74","n/e","283","n/e","3375","6406"
"United Kingdom (UK)","20.02.2019 18:00 - 20.02.2019 18:30 (CET)","2176","n/e","n/e","15690","1445","0","n/e","n/e","n/e","302","","599","n/e","n/e","5972","71","n/e","36","n/e","3527","6395"
"United Kingdom (UK)","20.02.2019 18:30 - 20.02.2019 19:00 (CET)","2264","n/e","n/e","16868","1553","0","n/e","n/e","n/e","536","","635","n/e","n/e","5957","72","n/e","0","n/e","112","2324"
"United Kingdom (UK)","20.02.2019 19:00 - 20.02.2019 19:30 (CET)","2257","n/e","n/e","17297","1694","0","n/e","n/e","n/e","1242","","736","n/e","n/e","5966","71","n/e","0","n/e","108","2235"
"United Kingdom (UK)","20.02.2019 19:30 - 20.02.2019 20:00 (CET)","2260","n/e","n/e","17264","1555","0","n/e","n/e","n/e","930","","773","n/e","n/e","5966","153","n/e","0","n/e","3455","5785"
"United Kingdom (UK)","20.02.2019 20:00 - 20.02.2019 20:30 (CET)","2176","n/e","n/e","17243","1637","0","n/e","n/e","n/e","587","","754","n/e","n/e","5958","75","n/e","0","n/e","3405","5596"
"United Kingdom (UK)","20.02.2019 20:30 - 20.02.2019 21:00 (CET)","2172","n/e","n/e","15862","1653","0","n/e","n/e","n/e","1014","","868","n/e","n/e","5967","76","n/e","0","n/e","3446","5538"
"United Kingdom (UK)","20.02.2019 21:00 - 20.02.2019 21:30 (CET)","2156","n/e","n/e","15791","1384","0","n/e","n/e","n/e","697","","919","n/e","n/e","5972","76","n/e","0","n/e","99","2336"
"United Kingdom (UK)","20.02.2019 21:30 - 20.02.2019 22:00 (CET)","2137","n/e","n/e","14497","1335","0","n/e","n/e","n/e","451","","908","n/e","n/e","5967","76","n/e","0","n/e","99","2381"
"United Kingdom (UK)","20.02.2019 22:00 - 20.02.2019 22:30 (CET)","2144","n/e","n/e","12993","839","0","n/e","n/e","n/e","527","","858","n/e","n/e","5967","76","n/e","0","n/e","3444","5873"
"United Kingdom (UK)","20.02.2019 22:30 - 20.02.2019 23:00 (CET)","1965","n/e","n/e","11612","334","0","n/e","n/e","n/e","565","","739","n/e","n/e","5969","76","n/e","0","n/e","3401","5749"
